tm_window_size,tm_threshold,frames_total,frames_ok,ok_rate,redetect_proxy,avg_response
15,0.4,30,30,1.0,0,0.7994516332944234
15,0.5,30,30,1.0,0,0.7994516332944234
15,0.6,30,30,1.0,3,0.8240868272604766
25,0.4,30,30,1.0,0,0.7994503418604533
25,0.5,30,30,1.0,0,0.7994503418604533
25,0.6,30,30,1.0,3,0.8240856969798053
35,0.4,30,30,1.0,0,0.7994506518046062
35,0.5,30,30,1.0,0,0.7994506518046062
35,0.6,30,30,1.0,3,0.8240861318729542
