iteration,objective
0,6.8820750115060605
1,3.5871887943202987
2,3.4411517393312585
3,3.3283870859450873
4,2.995632868073859
5,2.9197120315665006
6,2.9197120315665006
7,2.9197120315665006
8,2.9197120315665006
9,2.9197120315665006
10,2.9197120315665006
11,2.9197120315665006
12,2.9197120315665006
13,2.9197120315665006
14,2.9197120315665006
15,2.9197120315665006
16,2.9197120315665006
17,2.9197120315665006
18,2.9197120315665006
19,2.9197120315665006
20,2.9197120315665006
21,2.9197120315665006
22,2.9197120315665006
23,2.9197120315665006
24,2.9197120315665006
