iteration,objective
0,5.489949459965584
1,3.0988139569586846
2,2.9224705401335207
3,2.9224705401335207
4,2.9224705401335207
5,2.9224705401335207
6,2.9224705401335207
7,2.9224705401335207
8,2.9224705401335207
9,2.9224705401335207
10,2.9224705401335207
11,2.9224705401335207
12,2.9224705401335207
13,2.9224705401335207
14,2.9224705401335207
15,2.9224705401335207
16,2.9224705401335207
17,2.9224705401335207
18,2.9224705401335207
19,2.9224705401335207
20,2.9224705401335207
21,2.9224705401335207
22,2.9224705401335207
23,2.9224705401335207
24,2.9224705401335207
