num_clusters,mean_final_objective,std_final_objective,n_seeds,n_points,max_iter
2,3.749817504583412,0.3520874406756949,3,20,25
3,2.9096295137719825,0.016248466591949857,3,20,25
4,2.545710741570559,0.04641105933633964,3,20,25
5,2.240901561288811,0.11195804267405357,3,20,25
