far,idr,thr
0.001,0.41397738951695784,-0.3664176818728401
0.0010069316688518044,0.41521068859198357,-0.36685467427351637
0.0010139113857366789,0.416032887975334,-0.36729469576079404
0.0010209394837076798,0.4168550873586845,-0.3677377673313061
0.0010280162981264735,0.41788283658787256,-0.36818391012723356
0.0010351421666793441,0.418705035971223,-0.3686331454372752
0.0010423174293933035,0.4197327852004111,-0.36908549469772345
0.001049542428652322,0.4209660842754368,-0.36954097949345527
0.0010568175092136585,0.42158273381294964,-0.369999621558944
0.0010641430182243164,0.4226104830421377,-0.3704614427793783
0.001071519305237606,0.4236382322713258,-0.37092646519156736
0.0010789467222298286,0.42569373072970196,-0.371394710985113
0.0010864256236170656,0.4265159301130524,-0.37186620250345387
0.0010939563662720941,0.42816032887975336,-0.37234096224486635
0.0011015393095414145,0.4289825282631038,-0.3728190128635837
0.0011091748152624009,0.4298047276464543,-0.37330037717089315
0.001116863247780561,0.43103802672147995,-0.373662855918814
0.0011246049739669268,0.43103802672147995,-0.3736861870220383
0.0011324003632355566,0.43103802672147995,-0.37370967984874387
0.0011402497875611685,0.43103802672147995,-0.37373333551994525
0.0011481536214968829,0.43103802672147995,-0.37375715516442515
0.0011561122421920992,0.43103802672147995,-0.37378113991879275
0.0011641260294104909,0.43103802672147995,-0.3738052909275358
0.0011721953655481304,0.43103802672147995,-0.37382960934307335
0.0011803206356517297,0.43103802672147995,-0.3738540963258143
0.001188502227437019,0.4312435765673176,-0.37387875304421125
0.0011967405313072432,0.4312435765673176,-0.3739035806748146
0.0012050359403717973,0.4314491264131552,-0.3739285804023316
0.0012133888504649774,0.4314491264131552,-0.37395375341968173
0.0012217996601648724,0.4314491264131552,-0.37397910092805203
0.0012302687708123812,0.4316546762589928,-0.3740046241369562
0.001238796586530369,0.4316546762589928,-0.37403032426429267
0.0012473835142429433,0.4316546762589928,-0.37405620253640165
0.0012560299636948755,0.4316546762589928,-0.37408226018812324
0.0012647363474711508,0.43186022610483044,-0.3741084984628574
0.0012735030810166615,0.43186022610483044,-0.37413491861262305
0.0012823305826560219,0.43186022610483044,-0.37416152189811835
0.0012912192736135347,0.43186022610483044,-0.37418830958877847
0.00130016957803329,0.43206577595066803,-0.37421528296284
0.001309181922999407,0.43206577595066803,-0.37430528025078563
0.0013182567385564075,0.43206577595066803,-0.3743993213952945
0.0013273944577297401,0.4324768756423433,-0.3744940144018768
0.0013365955165464418,0.4330935251798561,-0.3745893637890206
0.0013458603540559483,0.4330935251798561,-0.374685374106543
0.0013551894123510365,0.4330935251798561,-0.3747820499357935
0.001364583136588924,0.43329907502569376,-0.37487939588987773
0.0013740419750125148,0.43329907502569376,-0.37497741661388007
0.001383566378971781,0.43371017471736895,-0.37507611678508074
0.0013931568029453036,0.43371017471736895,-0.3751755011131836
0.0014028137045619575,0.4339157245632066,-0.3752755743405401
0.001412537544622754,0.43514902363823227,-0.37537634124236835
0.0014223287871228199,0.43535457348406986,-0.3754778066269911
0.001432187899273544,0.4355601233299075,-0.37557997533606013
0.0014421153515248681,0.4357656731757451,-0.3756828522447872
0.001452111617587742,0.4365878725590956,-0.37578644226217883
0.0014621771744567182,0.4365878725590956,-0.37589075033126734
0.0014723125024327193,0.43720452209660843,-0.3759957814293492
0.001482518085145953,0.43720452209660843,-0.37610154056822126
0.001492794409578996,0.4382322713257965,-0.37644938667733635
0.0015031419660900224,0.44028776978417267,-0.3769494084756668
0.0015135612484362087,0.441726618705036,-0.37745289625952416
0.0015240527537972906,0.44316546762589926,-0.37795987405397474
0.0015346169827992941,0.4446043165467626,-0.3784703660506055
0.0015452544395384142,0.4468653648509764,-0.3789843966087078
0.001555965631605075,0.44809866392600206,-0.3795019902564207
0.0015667510701081486,0.44994861253854057,-0.3800231716918985
0.0015776112696993484,0.4511819116135663,-0.3805479657845034
0.001588546748597779,0.4526207605344296,-0.38107639757597295
0.0015995580286146695,0.4538540596094553,-0.3816084922816204
0.00161064563517827,0.4546762589928058,-0.3821442752915761
0.0016218100973589297,0.4567317574511819,-0.38268377217192245
0.0016330519478943346,0.45878725590955804,-0.3832270086660087
0.0016443717232149323,0.46104830421377185,-0.3837740106955695
0.0016557699634695275,0.4624871531346352,-0.38432480436206445
0.0016672472125510626,0.4641315519013361,-0.38487941594785374
0.0016788040181225606,0.46474820143884893,-0.38516624008403383
0.001690440931643265,0.46515930113052417,-0.385246950082247
0.0017021585083949501,0.46515930113052417,-0.38532821953544055
0.0017139573075084253,0.465775950668037,-0.3854100523215727
0.001725837891990204,0.4659815005138746,-0.3854924523454782
0.0017378008287493763,0.4659815005138746,-0.3855754235390636
0.0017498466886246564,0.46618705035971225,-0.38565896986148684
0.0017619760464116293,0.46639260020554985,-0.3857430952993506
0.0017741894808901662,0.46639260020554985,-0.3858278038668909
0.0017864875748520499,0.46659815005138744,-0.38591309960617187
0.0017988709151287874,0.4668036998972251,-0.38599898658727183
0.0018113400926196026,0.4674203494347379,-0.3860854689084828
0.0018238957023196385,0.4676258992805755,-0.38617255069650597
0.0018365383433483473,0.4676258992805755,-0.38626023610664656
0.0018492686189780778,0.4676258992805755,-0.38634852932301395
0.0018620871366628676,0.4682425488180884,-0.38644217808940995
0.0018749945080674191,0.468448098663926,-0.3865468479134975
0.0018879913490962926,0.4686536485097636,-0.3866522432741468
0.0019010782799232997,0.46906474820143884,-0.38675836920053314
0.001914255925021086,0.4692702980472765,-0.3868652307566981
0.0019275249131909366,0.4696813977389517,-0.3869728330417829
0.0019408858775927793,0.4700924974306269,-0.3870811811902763
0.0019543394557753942,0.47050359712230216,-0.3871902803722556
0.001967886289706845,0.47070914696813976,-0.3873001357936377
0.001981527025805099,0.4709146968139774,-0.38741075269642017
0.001995262314968879,0.471120246659815,-0.3875221363589443
0.002009092812608728,0.471120246659815,-0.3876342920961309
0.002023019178678272,0.4713257965056526,-0.38774722525974736
0.0020370420777057192,0.4713257965056526,-0.3878609412386574
0.0020511621788255646,0.4713257965056526,-0.38793580024859153
0.0020653801558105293,0.4713257965056526,-0.38797401244139884
0.002079696687103696,0.4713257965056526,-0.38801248950847356
0.0020941124558508935,0.4713257965056526,-0.3880512332858353
0.002108628149933289,0.4713257965056526,-0.3880902456222319
0.002123244462000219,0.4713257965056526,-0.3881295283792256
0.0021379620895022326,0.4713257965056526,-0.38816908343128226
0.0021527817347243737,0.4713257965056526,-0.38820891266586055
0.002167704104819694,0.4713257965056526,-0.38824901798350486
0.0021827299118430013,0.47153134635149024,-0.38828940129792916
0.0021978598727848252,0.47153134635149024,-0.38833006453611746
0.0022130947096056387,0.47153134635149024,-0.3883710096384064
0.002228435149270303,0.47153134635149024,-0.38841223855858564
0.002243881923782766,0.47317574511819116,-0.3894834159906037
0.0022594357702209783,0.47564234326824256,-0.39065086901063206
0.0022750974307720715,0.4797533401849949,-0.39182641442837773
0.0022908676527677724,0.4830421377183967,-0.39301010833768735
0.002306747188720069,0.4869475847893114,-0.39420200722121196
0.0023227367963571076,0.48859198355601235,-0.39540216795308336
0.0023388372386593534,0.49311408016443986,-0.3966106478017043
0.002355049283896009,0.4961973278520041,-0.3978275044324886
0.0023713737056616554,0.4988694758478931,-0.3990527959104483
0.0023878112829131782,0.5035971223021583,-0.40028658070318757
0.0024043628000069346,0.5066803699897225,-0.4015289176835406
0.0024210290467361778,0.5093525179856115,-0.4027838105987108
0.0024378108183687524,0.513874614594039,-0.4040553141991007
0.002454708915685031,0.516546762589928,-0.4053356314413539
0.002471724145016129,0.519218910585817,-0.4066248234187802
0.00248885731828239,0.521891058581706,-0.40792295164806985
0.0025061092530321138,0.5251798561151079,-0.4092300780723796
0.0025234807724805754,0.529907502569373,-0.4105462650642135
0.0025409727055493063,0.5344295991778006,-0.41187157542841873
0.0025585858869056452,0.5381294964028777,-0.41320607240518215
0.0025763211570025753,0.5420349434737924,-0.41454981967308974
0.002594179362118815,0.544912641315519,-0.41590288135205933
0.0026121613543992053,0.5482014388489208,-0.4169918053989813
0.0026302679918953813,0.5508735868448099,-0.4179092471180717
0.002648500138606701,0.5527235354573484,-0.41883304823934414
0.0026668586645214806,0.5539568345323741,-0.4197632528440932
0.0026853444456585063,0.5543679342240493,-0.4206999053191124
0.0027039583641088436,0.5572456320657759,-0.4216430503589206
0.0027227013080779127,0.5605344295991778,-0.42259273296782535
0.0027415741719278835,0.5623843782117164,-0.42354899846208083
0.002760577856220345,0.5648509763617677,-0.42451189247208837
0.0027797132677592883,0.5677286742034944,-0.4254814609445026
0.002798981319634363,0.56896197327852,-0.4258900081602885
0.002818382931264455,0.5691675231243577,-0.42594845978230605
0.002837919028441555,0.5691675231243577,-0.42600731657161023
0.0028575905433749467,0.5691675231243577,-0.42606658133668845
0.0028773984147356696,0.5693730729701952,-0.4261262569054917
0.0028973435877013244,0.5695786228160329,-0.4261863461255773
0.002917427014001166,0.5697841726618705,-0.4262468518642379
0.0029376496519615304,0.5697841726618705,-0.42630777700864203
0.0029580124665515464,0.5697841726618705,-0.42636912446597297
0.002978516429429191,0.5704008221993834,-0.42661649137987884
