iteration,objective
0,6.001838825588007
1,2.8867059696159267
2,2.8867059696159267
3,2.8867059696159267
4,2.8867059696159267
5,2.8867059696159267
6,2.8867059696159267
7,2.8867059696159267
8,2.8867059696159267
9,2.8867059696159267
10,2.8867059696159267
11,2.8867059696159267
12,2.8867059696159267
13,2.8867059696159267
14,2.8867059696159267
15,2.8867059696159267
16,2.8867059696159267
17,2.8867059696159267
18,2.8867059696159267
19,2.8867059696159267
20,2.8867059696159267
21,2.8867059696159267
22,2.8867059696159267
23,2.8867059696159267
24,2.8867059696159267
